No,New Label Name,Label Description
34,Small number of MCTS simulations,"The number of MCTS simulations is suboptimally low The AlphaGoZero algorithm performs Monte Carlo Tree Search (MCTS) iterations to compute the probability to play a move for a given state  [4]. An MCTS iteration basically involves going from the root node of the tree to a specific leaf while following certain steps. As per the post, the number of MCTS iterations was suboptimally low. "
35,Suboptimal Discount Factor,"The discount factor affects the tradeoff between obtaining immediate vs future rewards. When the discount factor \gamma = 0, the agent only focus on its immediate rewards, while determining actions. In case \gamma = 1, the agent focuses on the sum total of all future rewards obtained by taking an action. "
36,Suboptimal Replay buffer size,"The size of the replay buffer affects the algorithm performance. For instance, it leads to catastrophic forgetting"
37,Suboptimal Polyak constant value,The Polyak constant is used to update the target network towards the online network. It is different from direct copying as it basically performs a weighted update of the target network and online network into the target network
38,Suboptimal noise sampling,The noise parameter is used for exploration. The noise values can vary depending upon the distribution it is sampled from.
39,Suboptimal minimum exploration rate,"This is the final value of the exploration rate. Basically when the exploration decay ends, this is the final value of exploration reached."
40,Suboptimal State Space,"The State representation is wrong is suboptimal -  This is different from incomplete state description, as the latter might be just missing relevant attributes whereas the former doesn't give the agent any information.  

The issue can arise from one of the following - 

1. The State representation has components which adversely affect learning
2.  The State representation has missing components
3. The environment is designed in such a way that the number of states is unnecessarily large. Redesigning the state space might help the agent learn better or converge to a near optimal policy faster"
41,Suboptimal application of Dirichlet noise,"This is used to perform exploration. In our case, we found it being used in the AlphaZero paper."
42,Missing target network,"Target network is missing. Typically in DQN algorithms, we have 2 networks - Online and Target networks. The Online network parameters is copied onto the Target Network after a few iterations."
43,Missing replay buffer,The replay buffer is missing. The replay buffer stores data that the learning algorithm uses for training.
44,Incomplete State Description,The State in the RL problem isn't optimally designed. This can make learning difficult. This is different from Incorrect State Description which doesn't give the agent any information.
45,Suboptimal exploration rate - Epsilon,The exploration rate is suboptimal in the context of Epsilon Greedy Algorithm. This is typically found with DQN algorithms
46,Suboptimally balancing value and policy networks,"This error arose in a post using the AlphaGo algorithm. The lambda parameter is used to balance the use of policy and value networks. Depending on the lambda value, the network uses relies more on value or policy network."
47,Use of inappropriate function approximator for the given environment,"The type of generalization the RL algorithm uses. For small state spaces one would want to go with regular Q learning. For intermediate state spaces, tile coding or constructing linear predictors should be fine. For large state spaces, a neural network should be typically used."
48,Suboptimal decay of exploration,"Exploration is supposed to be decayed as the training progresses. When training begins, the agent doesn't know much and therefore is expected to make random actions. As the training progresses the agent is supposed to make use of the knowledge it gained and make fewer exploration steps. The exploration decay parameter controls the reduction in exploration as training progresses."
49,Subtoptimal frame skip parameter,"""Frame skip is the number of frames an action
is repeated before a new action is selected."". [2]
"
50,Missing exploration,""" failure to explore
  the environment in the case that it is necessary according to the algorithm.""

""This tag is identified as the failure to explore the environment in the case that it is necessary according to the algorithm. Lack of exploration leads to poor performance of the algorithm in terms of mean reward. Sometimes developers rely on the output of the neural network (e.g., DQN) to have enough flexibility to cause sufficient exploration but using explicit methods like epsilon greedy is more effective."" [1]"
51,Suboptimal Entropy Coefficient,The regularization parameter (entropy) usually used in PPO hasn't been set. is suboptimal. This adversely affects exploration and in turn causes the agent's performance to dip. 
52,Suboptimal scaling of features,The state features haven't been scaled. This makes it hard for the function approximator to learn from the states.
53,Large State Description,The environment is designed in such a way that the number of states is unnecessarily large. Redesigning the state space might help the agent learn better or converge to a near optimal policy faster
54,Sparse Reward,The agent only recieves reward in infrequent intervals. This makes it hard for the agent to learn which  states and actions are beneficial to obtaining high rewards.
55,Misconfiguration of the agent to a deterministic inference,Setting a stochastic policy to deterministic at inference might cause the agent's performance to deteroriate. The agent might be relying on stochasticity to achieve certain goals which cannot be done using deterministic actions.
56,Suboptimal Learning Rate,"The learning rate is suboptimal. In particular, it is either too high or low. We only want to keep this for non neural network algorithms"
