ID,html_link,Assignne 1,Assignne 1 Label,Assignne 2,Assignne 2 Label,Breno's Label,Breno's Comments,Rater_1_Label,Rater_1_Comments,Rater_2_Label,Rater_2_Comments,Rater_3_Label,Rater_3's Comments,Rater_4_Label,Rater_4_Comments,Rater_5_Label,Rater_5_Comments,List of Labels,Final Taxonomy Label
GH 53,https://github.com/HumanCompatibleAI/imitation/pull/25,Deepak,Missing replay buffer,Mohammad,Missing replay buffer,,,Missing replay buffer,,Missing replay buffer,,Missing replay buffer,Feature?,Missing replay buffer,,Missing replay buffer,,Large action space,Dropped
GH 55,https://github.com/eugenevinitsky/sequential_social_dilemma_games/commit/227e3be69c40f6df2e874cb52e36d6f29b9730a6,Nargiz,Reward Function,Deepak,Reward Function,,,Suboptimal Reward Function,,Suboptimal Reward Function,need an adjective,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Small number of MCTS simulations,Suboptimal Reward Function
GH 57,https://github.com/freqtrade/freqtrade/pull/7809,Gunel,Non random start point,Nargiz,Non random start point,,,Non random start point,Great motivation for this label,Non random start point,need to rename the label?,Non random start point,,Non random start point,,Non random start point,very sprcific label :selecting random start point,Missing normalisaton of observations,Non-random starting state 
GH 58,https://github.com/Farama-Foundation/HighwayEnv/issues/75,Nargiz,Environment Design,Deepak,Environment Design,,,Suboptimal Environment Dynamics,Environment dynamics may be better,Suboptimal Environment Dynamics,need an adjective? ,Suboptimal Environment Dynamics,,Suboptimal Environment Dynamics,,Suboptimal Environment Dynamics,,Suboptimal Environment Dynamics,Drop
GH 60,https://github.com/HumanCompatibleAI/imitation/pull/425,Gunel,Reward Scale,Deepak,Reward Scale,,,Missing reward normalisation,,Missing reward normalisation,,Missing reward normalisation,,Missing reward normalisation,,Missing reward normalisation,,Not enough episodes/iterations (training),Missing reward normalisation/scaling 
GH 61,https://github.com/lebrice/Sequoia/pull/88,Nargiz,Replay Buffer Design,Deepak,Replay Buffer Design,,,Replay Buffer Design,,Replay Buffer Design,"I can see that they fix things related to batching, but I am not completely sure this is related to buffer design",Replay Buffer Design,,Replay Buffer Design,,Replay Buffer Design,"one fix: Change the return of Batch.slice(indices) to always have a batch dimension,",Missing target network,Suboptimal replay buffer design 
GH 62,https://github.com/DLR-RM/stable-baselines3/issues/456,Mohammad,Missing reset/close environment,Deepak,Missing reset/close environment,,,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,,Incorrect State Description,Missing reset/close environment 
GH 63,https://github.com/DLR-RM/stable-baselines3/issues/76,Gunel,Wrong network update,Nargiz,Wrong network update,,,Wrong network update,Framework bug,Wrong network update,,Wrong network update,Difference with wrong network update?,Wrong network update,,Wrong network update,"[Bug]: Issue with SubprocVecEnv when observation space is a Dict #1428
https://github.com/DLR-RM/stable-baselines3/issues/1428",Suboptimal exploration rate - OU Coefficient,Wrong network update / Wrong update rule
GH 65,https://github.com/ugr-sail/sinergym/issues/208,Deepak,Reward Function,Nargiz,Reward Function,,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal exploration rate - Epsilon,Suboptimal reward function
GH 67,https://github.com/HumanCompatibleAI/imitation/pull/342,Deepak,evaluation of stochastic trained agents,Nargiz,Unrelated,,,Non stochastic policy for AIRL,"""More fundamentally, AIRL needs a stochastic policy."" => I think this is relevant. But I feel a different labels needs to be used",Non stochastic policy for AIRL,Seems like a new feature being added,Non stochastic policy for AIRL,Feature implementation,Non stochastic policy for AIRL,,Non stochastic policy for AIRL,,Suboptimal exploration rate - Epsilon,Non-stochastic policy
GH 68,https://github.com/HumanCompatibleAI/imitation/pull/333,Deepak,Training on variable horizon tasks,Gunel,Training on variable horizon tasks,,,Training on variable horizon tasks,,Training on variable horizon tasks,To check: we probably need to rename this label into smth better,Training on variable horizon tasks,,Training on variable horizon tasks,,Training on variable horizon tasks,Variable horizon tasks cause all sorts of problems as discussed in #324,Suboptimal initialization state,"Use of variable horizon in environment where fixed
horizon is more appropriate "
GH 69,https://github.com/HumanCompatibleAI/imitation/pull/256,Gunel,Missing normalisaton of observations,Mohammad,Missing normalisaton of observations,,,Missing normalisaton of observations,"""I introduce another VecNormalize to normalize (and clip) rewards but not observations after the wrapped reward."" => Maybe normalize and clip rewards should be also included


2. Also this is important => ""I added keyword arguments that let you control whether to normalize observations or rewards. There are some environments in particular where normalizing observations is unnecessary or undesirable (e.g. Atari).""",Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,,Deep Learning Fault,Suboptimal / Missing normalisaton of observations
GH 70,https://github.com/HumanCompatibleAI/imitation/pull/130,Gunel,Reward Scale,Deepak,Reward Scale,,,Reward Scale,,Reward Scale,,Reward Scale,VecNormalize,Reward Scale,,Reward Scale,training with an unnormalized reward,Reward Scale,Missing reward normalisation/scaling 
GH 71,https://github.com/HumanCompatibleAI/imitation/pull/130,Gunel,Missing normalisaton of observations,Deepak,Missing normalisaton of observations,,,Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,(duplicate) VecNormalize,Missing normalisaton of observations,,Missing normalisaton of observations,,Wrong Generalization Approach,Suboptimal / Missing normalisaton of observations
GH 72,https://github.com/Farama-Foundation/HighwayEnv/pull/110,Nargiz,Suboptimal reward mapping,Deepak,Suboptimal reward mapping,,,Suboptimal reward mapping,,Suboptimal reward mapping,"This is about reward, but not sure about ""mapping"". The description of the label is a link atm.",Suboptimal reward mapping,Feature implementation,Suboptimal reward mapping,,Suboptimal reward mapping,"I dont see bug, the developer asked question: Reward in highway-env with continuous control (https://github.com/Farama-Foundation/HighwayEnv/issues/109)",Suboptimal Reward Shaping,"Reward function not defined for entire range
of behaviour "
GH 73,https://github.com/glmcdona/LuxPythonEnvGym/pull/86,Nargiz,Reward Function,Gunel,Reward Function,,,Suboptimal Reward Function,"1. ""Set default example agent to inference on non-deterministic mode. Agents often get stuck when set to deterministic in inference.""
",Suboptimal Reward Function,need an adjective,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Incorrect done flag,Suboptimal reward function
GH 73,https://github.com/glmcdona/LuxPythonEnvGym/pull/86,,,,,,,Misconfiguration of the agent to a deterministic inference,,Misconfiguration of the agent to a deterministic inference,,Misconfiguration of the agent to a deterministic inference,,Misconfiguration of the agent to a deterministic inference,,Misconfiguration of the agent to a deterministic inference,,Large State Description,Misconfiguration of the agent to a deterministic inference
GH 75,https://github.com/deepmind/open_spiel/pull/43,Breno,Missing gradient clipping,Nargiz,Missing gradient clipping,,,Missing gradient clipping,,Missing gradient clipping,,Missing gradient clipping,,Missing gradient clipping,,Missing gradient clipping,Without gradient clipping the PolicyGradient agent was unstable,Sparse Reward,Missing policy-gradient clipping 
GH 77,https://github.com/HumanCompatibleAI/imitation/pull/110,Mohammad,Unclear,Nargiz,Suboptimal observation design,,,Suboptimal observation design,"""This makes the environment highly non-Markovian, and leads to even expert policies looking rather jagged: they keep accelerating towards the particle, overshooting, and correcting winding up in SHM-like motion."" => Non Markovian Environment",Suboptimal observation design,,Suboptimal observation design,,Suboptimal observation design,,Suboptimal observation design,I am not sure if it is bug or not,Incorrect use of seed,Drop
GH 81,https://github.com/DLR-RM/stable-baselines3/issues/440,Nargiz,Incorrect batch size,Deepak,Incorrect batch size,,,Normalizing with a single sample,,Normalizing with a single sample,To check: is this RL-specific?,Normalizing with a single sample,(duplicate of GH 12) Advantage estimation calculation in PPO should not depend on the batch size,Normalizing with a single sample,not sure about this one,Normalizing with a single sample,"""One way would be to throw an error when batch_size=1 or allow to deactivate advantage normalization""",Wrong input to compute returns,Wrong normalisation of advantage 
GH 88,https://github.com/HumanCompatibleAI/imitation/pull/167,Breno,Missing normalisaton of observations,Mohammad,Missing normalisaton of observations,,,Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,,Incorrect learning_start,Suboptimal / Missing normalisaton of observations
GH 89,https://github.com/HumanCompatibleAI/imitation/pull/54,Breno,suboptimal number of rollout buffer steps,Deepak,suboptimal number of rollout buffer steps,,,Suboptimal number of n_steps,,Suboptimal number of n_steps,"""Increases the default n_steps collected by PPO to be consistent with.."". From the documentation ""(i.e. rollout buffer size is n_steps * n_envs where n_envs is number of environment copies running in parallel)""",Suboptimal number of n_steps,,Suboptimal number of n_steps,,Suboptimal number of n_steps,"""Fixes Wrapping VecEnv -- Final (old_obs, act, obs) triple is incorrect. #1 by recording terminal transition during rollouts.""",Biased target network,Suboptimal number of rollout steps 
GH 93,https://github.com/HumanCompatibleAI/imitation/pull/359,Mohammad,Missing reset/close environment,Nargiz,Missing reset/close environment,,,Missing reset/close environment,,Missing reset/close environment,"""So it could happen that we had partial trajectories, which would be collected by pop_trajectories, but when training later resumed, it resumed from the middle of an episode. """,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,"""The issue was that we use reset_num_timesteps=False when calling SB3's learn(), which has the side effect of not resetting the environment""",Missing check for dones,Missing reset/close environment
GH 95,https://github.com/utiasDSL/gym-pybullet-drones/pull/32,Breno,Large action space,Nargiz,Large action space,,,Suboptimal action space design,"Maybe even reward and dones - 

fix _computeDone function to reduce unnecessary interaction with environment.
fix _computeReward function to enhance agent to go higher than before.",Suboptimal action_space design,To check: should we rename this?,Suboptimal action_space design,Action space design? There is no mention in the post that the action space is large. There is also the fix of the reward function that could be considered as post to label.,Suboptimal action_space design,,Suboptimal action space design,"there are 3 fixes: fix the range of action space from -1 ~ 1 to 0 ~ 1 for the orthogonal manipulation of the agent.
fix _computeDone function to reduce unnecessary interaction with environment.
fix _computeReward function to enhance agent to go higher than before.",Selecting a non-deterministic trained policy,Suboptimal action space
GH 95,https://github.com/utiasDSL/gym-pybullet-drones/pull/32,,,,,,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Incorrect episode length during inference,Suboptimal Reward Function
GH 95,https://github.com/utiasDSL/gym-pybullet-drones/pull/32,,,,,,,Incorrect done flag,,Incorrect done flag,,Incorrect done flag,,Incorrect done flag,,Incorrect done flag,,Missing online_sampling in replay buffer,"Flags indicating successful termination or
timeout not set properly"
GH 99,https://github.com/HumanCompatibleAI/imitation/pull/393,Nargiz,suboptimal observation normalisation,Gunel,suboptimal observation normalisation,,,suboptimal observation normalisation,,suboptimal observation normalisation,,suboptimal observation normalisation,,suboptimal observation normalisation,,suboptimal observation normalisation,,Missing potential shaping*,Suboptimal / Missing normalisaton of observations
GH 100,https://github.com/HumanCompatibleAI/imitation/pull/393,Nargiz,missing action normalisation,Gunel,missing action normalisation,,,missing action normalisation,"""When storing buffers of observations, it's important to store unnormalized observations and normalize just before feeding into the policy/reward network to avoid distribution shift. "" => What does this mean?",missing action normalisation,,missing action normalisation,Not sure what they mean with action normalization,missing action normalisation,,missing action normalisation,"Is this cause bug? ""When storing buffers of observations, it's important to store unnormalized observations and normalize just before feeding into the policy/reward network to avoid distribution shift. This and related problems were a common source of bugs.""",Missing replay buffer,Missing action normalisation 
GH 101,https://github.com/contactrika/dedo/commit/d12bfb50bcf4718e2b5907a29f1a97e52906634c,Gunel,Reward Function,Nargiz,Reward Function,,,Missing normalisaton of observations,"Observation normalization is important here too -

Fixed reward issues (restored penalty for eary termination); fixed im…
…age obs not being in [0,1];",Missing normalisaton of observations,,Missing normalisaton of observations,,Missing normalisaton of observations,could you find it in the code,Missing normalisaton of observations,Your reward function makes it painful to be alive,Pontential of terminal step not fixed to zero,Suboptimal / Missing normalisaton of observations
SE 1,https://ai.stackexchange.com/questions/7940,Deepak,Reward Function,Breno,Reward Function,,,Suboptimal Reward Function,,Suboptimal Reward Function,"At the very end of the discussion (in the comments) the person says ""the scikit-learn fit method was the problem I had to use partial_fit instead thanks a lot now I seem to get some  results, the snake finally learns to go after the apple, I still need to modify the reward function for better performance according to your suggestions""",Suboptimal Reward Function,It could also be a DL problem,Suboptimal Reward Function,,Suboptimal Reward Function,,Training on variable horizon tasks,Suboptimal Reward Function
SE 5,https://ai.stackexchange.com/questions/10830,Mohammad,Replay Buffer Design,Deepak,Replay Buffer Design,,,Suboptimal sampling from replay buffer,,Suboptimal sampling from replay buffer,"""redoing my experience selection method"" - is this about replay buffer design?",Suboptimal sampling from replay buffer,,Suboptimal sampling from replay buffer,,Suboptimal sampling from replay buffer,,Unnecessary reward normalisation,Suboptimal sampling from replay buffer
SE 6,https://ai.stackexchange.com/questions/11433,Mohammad,Suboptimal network update frequency,Breno,Suboptimal network update frequency,,,Wrong update rule,Should be wrong update rule,Wrong update rule,To check. Is there a clear difference between the two labels?,Wrong update rule,,Wrong update rule,,Wrong update rule,,Missing reward normalisation,Wrong network update / Wrong update rule
SE 7,https://ai.stackexchange.com/questions/11987,Deepak,Large action space,Nargiz,Small number of MCTS simulations,,,Small number of MCTS simulations,"*Action space will be more generalizable

Maybe large branching factor",Small number of MCTS simulations,To check. Is this too precise?,Small number of MCTS simulations,,Small number of MCTS simulations,,Small number of MCTS simulations,,Selecting a non-stochastic trained policy,Small number of mcts simulations 
SE 9,https://ai.stackexchange.com/questions/15910,Mohammad,Suboptimal network update frequency,Breno,Suboptimal network update frequency,,,Wrong update rule,Should be wrong update rule,Wrong update rule,The solution seems to be the change of learning rate,Wrong update rule,,Wrong update rule,"Not sure about the label (missing LR decay), but this lr is not for DL network, but for the Q table update.",Wrong update rule,I was not decaying the learning rate appropriately,Suboptimal termination condition,Wrong network update / Wrong update rule
SE 10,https://ai.stackexchange.com/questions/17538,Breno,Reward Function,Mohammad,Reward Function,,,Suboptimal Reward Function,,Suboptimal Reward Function,"Note: there is no confident answer here. We can keep the label because the accepted answer says ""instead of just penalizing the model for failing, you should reward if for winning"". The comment to the answer by the person who asked the question ""The problem was in the state and the reward"". ",Suboptimal Reward Function,,Suboptimal Reward Function,The problem was in the state and the reward,Suboptimal Reward Function,"you should reward if for winning, so pausing is no longer the best option.",,Suboptimal reward function
SE 12,https://ai.stackexchange.com/questions/20858,Mohammad,Discount Factor,Deepak,Discount Factor,,,Suboptimal Discount Factor,*,Suboptimal Discount Factor,To check: it seems discount factor is only part of the problem. There is quite some discussion on is_slippery and environmental traces.,Suboptimal Discount Factor,,Suboptimal Discount Factor,,Suboptimal Discount Factor,discount rate (set for 0.99) was causing these errors.,Reward clip ,Suboptimal discount factor
SE 14,https://ai.stackexchange.com/questions/21872,Deepak,State Description,Breno,State Description,,,Suboptimal observation design,Generalization approach is missing here,Suboptimal observation design,"It seems to me like a rounding error, which leads to an incorrect values for observation space. Not sure what is the best label for this. ",Suboptimal observation design,,Suboptimal observation design,,Suboptimal observation design,"More than one problem. The problem here is likely related to the state approximations you are using,  The approximation approach of discrete grid is also very crude",Incorrect batch size,Drop
SE 15,https://ai.stackexchange.com/questions/22201,Breno,Discount Factor,Deepak,Discount Factor,,,Suboptimal Discount Factor,"1. I think this should have something about problem formulation
2. Also non random start point is applicable here (In your evaluation code (after training), I believe that you always make the Random opponent play first, and the trained agent play second? If you don't cover this scenario in your training episodes, your agent may not learn how to properly handle it.)",Suboptimal Discount Factor,"Note: the part about discount factor is a ""small note"". ",Suboptimal Discount Factor,Seems to be an issue with the way the agents are updated in multi-agent setting.,Suboptimal Discount Factor,,Suboptimal Discount Factor,"Your discount factor 𝛾0.1 has an extremely small value, always make the Random opponent play first, and the trained agent play second? If you don't cover this scenario in your training episodes, your agent may not learn how to properly handle it.",Missing gradient clipping,Suboptimal discount factor 
SE 15 [Duplicate],https://ai.stackexchange.com/questions/22201,,,,,,,Non random start point,,Non random start point,,Non random start point,,Non random start point,,Non random start point,,suboptimal number of rollout buffer steps,Non-random starting state
SE 16,https://ai.stackexchange.com/questions/22945,Gunel,Replay Buffer Design,Deepak,Replay Buffer Design,,,Suboptimal Replay buffer size,"There are many changes here -
1. Sampling the noise 
2. Changing polyak 
3. Changed hidden layer sizes
4. Replay buffer design -> Buffer size (to be specific)
5. Batch size",Suboptimal Replay buffer size,"There are many changes, but this one seems to be the only one that is definitely RL related",Suboptimal Replay buffer size,Changed the polyak constant (tau) from 0.99 to 0.001; other changes as well,Suboptimal Replay buffer size,alsso the constant?,Suboptimal Replay buffer size,I see many changes (change the actions selection function for this and tune some hyper-parameters.),,Suboptimal Replay buffer size
SE 16,https://ai.stackexchange.com/questions/22945,,,,,,,Suboptimal Polyak constant value,,Suboptimal Polyak constant value,,Suboptimal Polyak constant value,,Suboptimal Polyak constant value,,Suboptimal Polyak constant value,,,Suboptimal Polyak constant value
SE 16,https://ai.stackexchange.com/questions/22945,,,,,,,Suboptimal noise sampling,,Suboptimal noise sampling,,Suboptimal noise sampling,,Suboptimal noise sampling,,Suboptimal noise sampling,,,Suboptimal noise sampling
SE 18,https://ai.stackexchange.com/questions/23299,Breno,Suboptimal exploration rate,Deepak,State Description,,,Suboptimal minimum exploration rate,"1. Set minimum exploration rate
2. Generalization approach (More convolutional layers)
3. State representation
4. Increase number of iterations

I have the same observation as Reviewer_5 that exploration and state representation. In addition, I have 2 more.",Suboptimal minimum exploration rate,"To check. There are two more changes: remove dropout and more conv layers, but this is DL related. Also, smth about state representation and normalisation. ",Suboptimal minimum exploration rate,,Suboptimal minimum exploration rate,,Suboptimal minimum exploration rate,"three, maybe four, things in your implementation that could be contributing to incomplete learning that you are observing.
Suboptimal exploration rate
state representation
dropout in RL neural networks
More convolutional layers
",,Suboptimal minimum exploration rate
SE 18,https://ai.stackexchange.com/questions/23299,,,,,,,Not enough episodes/iterations (training),,Not enough episodes/iterations (training),,Not enough episodes/iterations (training),,Not enough episodes/iterations (training),,Not enough episodes/iterations (training),,,Not enough episodes/iterations (training) 
SE 18,https://ai.stackexchange.com/questions/23299,,,,,,,Incorrect State Description,,Incorrect State Description,,Incorrect State Description,,Incorrect State Description,,Incorrect State Description,,,Suboptimal State Space
SE 20,https://ai.stackexchange.com/questions/23518,Breno,Wrong activation for output,Mohammad,Wrong activation for output,,,Deep Learning Fault,,Deep Learning Fault,To check. Is this not DL related?,Deep Learning Fault,,Deep Learning Fault,MENTION IN THE PAPER WHY WE DROPPED THIS LABEL,Deep Learning Fault,,evaluation of stochastic trained agents,Drop
